norm_title,tconst,titleType,startYear,runtimeMinutes,genres,averageRating,numVotes
mortal kombat,tt0293429,movie,2021,110,"Action,Adventure,Fantasy",6.1,204148.0
on the road,tt0337692,movie,2012,124,"Adventure,Drama,Romance",6.0,44679.0
the secret life of walter mitty,tt0359950,movie,2013,114,"Adventure,Comedy,Drama",7.3,369535.0
a walk among the tombstones,tt0365907,movie,2014,114,"Action,Crime,Drama",6.5,131704.0
jurassic world,tt0369610,movie,2015,124,"Action,Adventure,Sci-Fi",6.9,726530.0
the rum diary,tt0376136,movie,2011,119,"Comedy,Drama,Romance",6.1,110040.0
gnomeo juliet,tt0377981,movie,2011,84,"Adventure,Animation,Comedy",5.9,63608.0
the three stooges,tt0383010,movie,2012,92,"Comedy,Family",5.2,34602.0
motherless brooklyn,tt0385887,movie,2019,144,"Crime,Drama,Mystery",6.8,65999.0
tangled,tt0398286,movie,2010,100,"Adventure,Animation,Comedy",7.7,542207.0
john carter,tt0401729,movie,2012,132,"Action,Adventure,Sci-Fi",6.6,298417.0
cowboys aliens,tt0409847,movie,2011,119,"Action,Drama,Sci-Fi",6.0,241319.0
the stanford prison experiment,tt0420293,movie,2015,122,"Biography,Drama,History",6.8,48012.0
dinner for schmucks,tt0427152,movie,2010,114,Comedy,5.9,116073.0
the ateam,tt0429493,movie,2010,117,"Action,Adventure,Crime",6.7,276992.0
the possession,tt0431021,movie,2012,92,"Horror,Mystery,Thriller",5.9,65767.0
real steel,tt0433035,movie,2011,127,"Action,Drama,Sci-Fi",7.1,379462.0
the giver,tt0435651,movie,2014,97,"Drama,Romance,Sci-Fi",6.4,130432.0
toy story 3,tt0435761,movie,2010,103,"Adventure,Animation,Comedy",8.3,965226.0
alita battle angel,tt0437086,movie,2019,122,"Action,Adventure,Sci-Fi",7.3,322517.0
the flash,tt0439572,movie,2023,144,"Action,Adventure,Fantasy",6.6,246076.0
lincoln,tt0443272,movie,2012,150,"Biography,Drama,History",7.3,284073.0
before we go,tt0443465,movie,2014,95,"Comedy,Drama,Romance",6.8,68652.0
scott pilgrim vs the world,tt0446029,movie,2010,112,"Action,Comedy,Fantasy",7.5,494869.0
shazam,tt0448115,movie,2019,132,"Action,Adventure,Comedy",7.0,411922.0
puss in boots,tt0448694,movie,2011,90,"Action,Adventure,Animation",6.6,210286.0
wonder woman,tt0451279,movie,2017,141,"Action,Adventure,Fantasy",7.3,733684.0
42,tt0453562,movie,2013,128,"Biography,Drama,Sport",7.5,108396.0
life of pi,tt0454876,movie,2012,127,"Adventure,Drama,Fantasy",7.9,698285.0
the crazies,tt0455407,movie,2010,101,Horror,6.5,137094.0
the equalizer,tt0455944,movie,2014,132,"Action,Crime,Thriller",7.3,463651.0
captain america the first avenger,tt0458339,movie,2011,124,"Action,Adventure,Sci-Fi",6.9,962626.0
a long way down,tt0458413,movie,2014,96,"Comedy,Drama",6.3,35617.0
sin city a dame to kill for,tt0458481,movie,2014,102,"Action,Animation,Crime",6.5,178318.0
highrise,tt0462335,movie,2015,119,"Drama,Sci-Fi",5.5,47425.0
piranha 3d,tt0464154,movie,2010,88,"Comedy,Horror",5.5,101826.0
alan partridge,tt0469021,movie,2013,90,"Action,Comedy,Crime",6.9,34075.0
ex machina,tt0470752,movie,2014,108,"Drama,Sci-Fi,Thriller",7.7,636319.0
tower heist,tt0471042,movie,2011,104,"Action,Comedy,Crime",6.2,157095.0
the smurfs,tt0472181,movie,2011,103,"Adventure,Animation,Comedy",5.4,104017.0
the mechanic,tt0472399,movie,2011,93,"Action,Crime,Thriller",6.5,182392.0
prince of persia the sands of time,tt0473075,movie,2010,116,"Action,Adventure,Fantasy",6.5,316762.0
hail caesar,tt0475290,movie,2016,106,"Comedy,Drama,Mystery",6.3,149672.0
unstoppable,tt0477080,movie,2010,98,"Action,Thriller",6.8,218563.0
extremely loud incredibly close,tt0477302,movie,2011,129,"Adventure,Drama,Mystery",6.9,107731.0
the tree of life,tt0478304,movie,2011,139,"Drama,Fantasy",6.8,191900.0
antman,tt0478970,movie,2015,117,"Action,Comedy,Sci-Fi",7.2,776688.0
season of the witch,tt0479997,movie,2011,95,"Action,Adventure,Fantasy",5.4,102589.0
the losers,tt0480255,movie,2010,97,"Action,Adventure,Comedy",6.2,111277.0
hall pass,tt0480687,movie,2011,105,"Comedy,Romance",5.9,135970.0
the croods,tt0481499,movie,2013,98,"Adventure,Animation,Comedy",7.1,250408.0
red tails,tt0485985,movie,2012,125,"Action,Drama,History",5.9,38545.0
silence,tt0490215,movie,2016,161,"Drama,History",7.2,133119.0
something borrowed,tt0491152,movie,2011,112,"Comedy,Drama,Romance",5.8,67327.0
suburbicon,tt0491175,movie,2017,105,"Comedy,Crime,Drama",5.8,49741.0
chips,tt0493405,movie,2017,100,"Action,Comedy,Crime",6.0,53977.0
rings,tt0498381,movie,2017,102,"Drama,Horror,Mystery",4.5,45666.0
without remorse,tt0499097,movie,2021,109,"Action,Drama,Thriller",5.8,70646.0
love other drugs,tt0758752,movie,2010,112,"Comedy,Drama,Romance",6.7,249749.0
a thousand words,tt0763831,movie,2012,91,"Comedy,Drama,Fantasy",5.9,47429.0
whats your number,tt0770703,movie,2011,106,"Comedy,Romance",6.1,91684.0
samsara,tt0770802,movie,2011,102,"Documentary,Music",8.4,39825.0
man of steel,tt0770828,movie,2013,143,"Action,Adventure,Sci-Fi",7.1,863844.0
cell,tt0775440,movie,2016,98,"Action,Adventure,Horror",4.5,32949.0
the illusionist,tt0775489,movie,2010,80,"Animation,Drama",7.4,37579.0
drive,tt0780504,movie,2011,100,"Action,Drama",7.8,758821.0
the wolfman,tt0780653,movie,2010,103,"Drama,Fantasy,Horror",5.9,117374.0
the boxtrolls,tt0787474,movie,2014,96,"Adventure,Animation,Comedy",6.8,64767.0
the man who knew infinity,tt0787524,movie,2015,108,"Biography,Drama",7.2,66594.0
the incredible burt wonderstone,tt0790628,movie,2013,100,Comedy,5.9,78158.0
dallas buyers club,tt0790636,movie,2013,117,"Biography,Drama",7.9,546758.0
jack reacher,tt0790724,movie,2012,130,"Action,Thriller",7.0,390255.0
ripd,tt0790736,movie,2013,96,"Action,Adventure,Comedy",5.6,151128.0
scary movie 5,tt0795461,movie,2013,86,Comedy,3.6,83502.0
13,tt0798817,movie,2010,91,"Crime,Drama,Thriller",6.0,45755.0
clash of the titans,tt0800320,movie,2010,106,"Action,Adventure,Fantasy",5.8,304419.0
the dirt,tt0800325,movie,2019,107,"Biography,Comedy,Drama",7.0,60300.0
thor,tt0800369,movie,2011,115,"Action,Fantasy",7.0,961604.0
warcraft,tt0803096,movie,2016,123,"Action,Adventure,Fantasy",6.7,294162.0
its kind of a funny story,tt0804497,movie,2010,101,"Comedy,Drama,Romance",7.1,151745.0
the witches,tt0805647,movie,2020,106,"Adventure,Family,Fantasy",5.4,51169.0
tooth fairy,tt0808510,movie,2010,101,"Comedy,Family,Fantasy",5.1,53071.0
the danish girl,tt0810819,movie,2015,119,"Biography,Drama",7.1,206100.0
jack and jill,tt0810913,movie,2011,91,"Comedy,Family",3.3,95730.0
take me home tonight,tt0810922,movie,2011,97,"Comedy,Drama,Romance",6.3,57586.0
percy jackson the olympians the lightning thief,tt0814255,movie,2010,118,"Adventure,Family,Fantasy",5.9,214682.0
shes out of my league,tt0815236,movie,2010,104,"Comedy,Romance",6.4,152738.0
the book thief,tt0816442,movie,2013,131,"Drama,War",7.5,147390.0
conan the barbarian,tt0816462,movie,2011,113,"Action,Adventure,Fantasy",5.2,105763.0
interstellar,tt0816692,movie,2014,169,"Adventure,Drama,Sci-Fi",8.7,2500715.0
world war z,tt0816711,movie,2013,116,"Action,Adventure,Horror",7.0,779563.0
flipped,tt0817177,movie,2010,90,"Comedy,Drama,Romance",7.7,107631.0
valentines day,tt0817230,movie,2010,125,"Comedy,Romance",5.8,130489.0
priest,tt0822847,movie,2011,87,"Action,Fantasy,Horror",5.7,129460.0
dracula untold,tt0829150,movie,2014,92,"Action,Drama,Fantasy",6.2,222209.0
godzilla,tt0831387,movie,2014,123,"Action,Adventure,Sci-Fi",6.4,463161.0
hotel transylvania,tt0837562,movie,2012,91,"Animation,Comedy,Family",7.0,311933.0
pet sematary,tt0837563,movie,2019,100,"Horror,Mystery,Thriller",5.7,104725.0
the town,tt0840361,movie,2010,125,"Crime,Drama,Thriller",7.5,446063.0
the kids are all right,tt0842926,movie,2010,106,"Comedy,Drama,Romance",7.0,137244.0
the avengers,tt0848228,movie,2012,143,"Action,Sci-Fi",8.0,1551474.0
epic,tt0848537,movie,2013,102,"Action,Adventure,Animation",6.6,114097.0
mr peabody sherman,tt0864835,movie,2014,92,"Adventure,Animation,Comedy",6.8,83817.0
jungle cruise,tt0870154,movie,2021,127,"Action,Adventure,Comedy",6.5,226434.0
red state,tt0873886,movie,2011,88,"Action,Horror,Thriller",6.1,69975.0
eat pray love,tt0879870,movie,2010,133,"Biography,Comedy,Drama",5.9,113440.0
sanctum,tt0881320,movie,2011,108,"Action,Adventure,Drama",5.9,58647.0
snitch,tt0882977,movie,2013,112,"Action,Drama,Thriller",6.4,95768.0
the wedding ringer,tt0884732,movie,2015,101,"Comedy,Romance",6.6,84688.0
hellraiser,tt0887261,movie,2022,121,"Horror,Mystery,Thriller",5.9,55343.0
the switch,tt0889573,movie,2010,101,"Comedy,Drama,Romance",6.1,117309.0
letters to juliet,tt0892318,movie,2010,105,"Adventure,Comedy,Drama",6.5,113255.0
how to train your dragon,tt0892769,movie,2010,98,"Action,Adventure,Animation",8.1,888605.0
shrek forever after,tt0892791,movie,2010,93,"Adventure,Animation,Comedy",6.3,244496.0
the whistleblower,tt0896872,movie,2010,112,"Biography,Crime,Drama",7.1,37125.0
suite française,tt0900387,movie,2014,107,"Drama,History,Romance",7.0,30474.0
the hobbit an unexpected journey,tt0903624,movie,2012,169,"Adventure,Fantasy",7.8,924703.0
love mercy,tt0903657,movie,2014,121,"Biography,Drama,Music",7.4,45403.0
the thing,tt0905372,movie,2011,103,"Horror,Mystery,Sci-Fi",6.3,154190.0
unthinkable,tt0914863,movie,2010,97,"Crime,Drama,Thriller",7.0,99840.0
the legend of tarzan,tt0918940,movie,2016,110,"Action,Adventure,Drama",6.2,197426.0
harry potter and the deathly hallows part 1,tt0926084,movie,2010,146,"Adventure,Family,Fantasy",7.7,660568.0
rabbit hole,tt0935075,movie,2010,91,Drama,6.9,52733.0
the last airbender,tt0938283,movie,2010,103,"Action,Adventure,Family",3.9,180834.0
silent hill revelation,tt0938330,movie,2012,95,"Drama,Horror,Mystery",4.9,71416.0
salt,tt0944835,movie,2010,100,"Action,Thriller",6.5,342255.0
source code,tt0945513,movie,2011,93,"Action,Drama,Mystery",7.5,580451.0
black swan,tt0947798,movie,2010,108,"Drama,Thriller",8.0,885743.0
green zone,tt0947810,movie,2010,115,"Action,Drama,Thriller",6.8,147554.0
the amazing spiderman,tt0948470,movie,2012,136,"Action,Sci-Fi",6.9,760427.0
the killer inside me,tt0954947,movie,2010,109,"Crime,Drama,Mystery",6.1,36966.0
robin hood,tt0955308,movie,2010,140,"Action,Adventure,Drama",6.6,295694.0
the sorcerers apprentice,tt0963966,movie,2010,109,"Action,Adventure,Family",6.1,176327.0
the fighter,tt0964517,movie,2010,116,"Action,Biography,Drama",7.8,406931.0
the conspirator,tt0968264,movie,2010,122,"Crime,Drama,History",6.9,31030.0
hugo,tt0970179,movie,2011,126,"Adventure,Drama,Family",7.5,348628.0
little fockers,tt0970866,movie,2010,98,"Comedy,Romance",5.5,125629.0
justice league,tt0974015,movie,2017,120,"Action,Adventure,Fantasy",6.0,503413.0
hitchcock,tt0975645,movie,2012,98,"Biography,Drama,Romance",6.8,83249.0
fair game,tt0977855,movie,2010,108,"Biography,Drama,Thriller",6.8,52792.0
sucker punch,tt0978764,movie,2011,110,"Action,Adventure,Fantasy",6.1,260805.0
the chronicles of narnia the voyage of the dawn treader,tt0980970,movie,2010,113,"Adventure,Family,Fantasy",6.3,176959.0
the adventures of tintin,tt0983193,movie,2011,107,"Action,Adventure,Animation",7.3,254113.0
fantasy island,tt0983946,movie,2020,109,"Fantasy,Horror,Mystery",4.9,63575.0
machete,tt0985694,movie,2010,105,"Action,Crime,Thriller",6.6,209419.0
dear john,tt0989757,movie,2010,108,"Drama,Romance,War",6.3,163536.0
the green hornet,tt0990407,movie,2011,119,"Action,Comedy,Crime",5.8,168821.0
army of the dead,tt0993840,movie,2021,148,"Action,Adventure,Crime",5.8,200296.0
hanna,tt0993842,movie,2011,111,"Action,Adventure,Drama",6.7,214533.0
the wolf of wall street,tt0993846,movie,2013,180,"Biography,Comedy,Crime",8.2,1774704.0
the experiment,tt0997152,movie,2010,96,"Drama,Thriller",6.4,59716.0
straw dogs,tt0999913,movie,2011,110,"Action,Drama,Thriller",5.8,37640.0
the rental,tt10003008,movie,2020,88,"Drama,Horror,Mystery",5.7,43173.0
the last voyage of the demeter,tt1001520,movie,2023,118,"Fantasy,Horror,Thriller",6.1,69766.0
megamind,tt1001526,movie,2010,95,"Action,Adventure,Animation",7.3,324004.0
the little things,tt10016180,movie,2021,128,"Crime,Drama,Mystery",6.3,140734.0
laal singh chaddha,tt10028196,movie,2022,159,"Comedy,Drama,Romance",5.6,181356.0
countdown,tt10039344,movie,2019,90,"Horror,Thriller",5.4,52686.0
unhinged,tt10059518,movie,2020,90,"Action,Thriller",6.0,86386.0
antebellum,tt10065694,movie,2020,105,"Drama,Horror,Mystery",5.8,31740.0
the iron lady,tt1007029,movie,2011,105,"Biography,Drama",6.4,116704.0
gangubai kathiawadi,tt10083340,movie,2022,152,"Biography,Crime,Drama",7.8,66914.0
the tragedy of macbeth,tt10095582,movie,2021,105,"Drama,Fantasy,Mystery",7.1,44088.0
thunder force,tt10121392,movie,2021,106,"Action,Adventure,Comedy",4.6,48318.0
megalopolis,tt10128846,movie,2024,138,"Drama,Fantasy,Sci-Fi",4.7,41616.0
knight and day,tt1013743,movie,2010,109,"Action,Adventure,Comedy",6.3,224265.0
alice in wonderland,tt1014759,movie,2010,108,"Adventure,Family,Fantasy",6.4,466374.0
child 44,tt1014763,movie,2015,137,"Crime,Drama,History",6.4,79566.0
shazam fury of the gods,tt10151854,movie,2023,130,"Action,Adventure,Comedy",5.9,144395.0
thalaivi,tt10152736,movie,2021,153,"Biography,Drama",5.9,31616.0
cinderella,tt10155932,movie,2021,112,"Comedy,Family,Fantasy",4.4,50220.0
the nun ii,tt10160976,movie,2023,110,"Horror,Mystery,Thriller",5.6,80559.0
all quiet on the western front,tt1016150,movie,2022,148,"Drama,History,War",7.8,313172.0
the prom,tt10161886,movie,2020,130,"Comedy,Drama,Musical",5.9,30490.0
bones and all,tt10168670,movie,2022,131,"Drama,Horror,Romance",6.8,73081.0
red white royal blue,tt10172266,movie,2023,118,"Comedy,Romance",7.0,64450.0
the runaways,tt1017451,movie,2010,106,"Biography,Drama,Music",6.5,52540.0
a boy called christmas,tt10187208,movie,2021,106,"Adventure,Drama,Family",6.7,31245.0
soorarai pottru,tt10189514,movie,2020,153,Drama,8.6,131542.0
les misérables,tt10199590,movie,2019,104,"Crime,Drama,Thriller",7.6,30394.0
selma,tt1020072,movie,2014,128,"Biography,Drama,History",7.5,99026.0
centurion,tt1020558,movie,2010,97,"Action,Drama,History",6.3,89460.0
the gangster the cop the devil,tt10208198,movie,2019,109,"Action,Crime,Thriller",7.0,32792.0
marry me,tt10223460,movie,2022,112,"Comedy,Music,Romance",6.1,47949.0
jolt,tt10228134,movie,2021,91,"Action,Comedy,Crime",5.6,39159.0
beckett,tt10230994,movie,2021,110,"Action,Crime,Drama",5.7,30538.0
the way back,tt1023114,movie,2010,133,"Adventure,Drama,History",7.3,127233.0
last seen alive,tt10242388,movie,2022,95,"Action,Crime,Drama",5.7,35936.0
salems lot,tt10245072,movie,2024,114,"Horror,Thriller",5.6,40491.0
argo,tt1024648,movie,2012,120,"Biography,Drama,History",7.7,664753.0
gemini man,tt1025100,movie,2019,117,"Action,Sci-Fi,Thriller",5.7,130630.0
the greatest beer run ever,tt10268488,movie,2022,126,"Adventure,Comedy,Drama",6.8,36699.0
the father,tt10272386,movie,2020,97,"Drama,Mystery",8.2,242688.0
to catch a killer,tt10275534,movie,2023,119,"Action,Crime,Drama",6.6,56499.0
wall street money never sleeps,tt1027718,movie,2010,133,Drama,6.2,109736.0
coolie no 1,tt10280276,movie,2020,134,"Action,Comedy,Romance",4.2,74784.0
sardar udham,tt10280296,movie,2021,164,"Crime,Drama,History",8.3,50537.0
secretariat,tt1028576,movie,2010,123,"Biography,Drama,Family",7.2,32537.0
another round,tt10288566,movie,2020,117,"Comedy,Drama",7.7,224822.0
the power of the dog,tt10293406,movie,2021,126,"Drama,Western",6.8,221820.0
poltergeist,tt1029360,movie,2015,93,"Fantasy,Horror,Thriller",4.9,64409.0
shershaah,tt10295212,movie,2021,135,"Action,Biography,Drama",8.3,136112.0
lightyear,tt10298810,movie,2022,105,"Action,Adventure,Animation",6.1,135402.0
strange world,tt10298840,movie,2022,102,"Action,Adventure,Animation",5.7,50407.0
amsterdam,tt10304142,movie,2022,134,"Comedy,Drama,History",6.2,106772.0
fatman,tt10310140,movie,2020,100,"Action,Adventure,Comedy",5.9,35391.0
becky,tt10314450,movie,2020,93,"Action,Crime,Drama",6.1,30674.0
the contractor,tt10323676,movie,2022,103,"Action,Drama,Thriller",5.8,34975.0
article 15,tt10324144,movie,2019,130,"Crime,Drama,Mystery",8.1,41275.0
the forever purge,tt10327252,movie,2021,103,"Action,Crime,Drama",5.4,48486.0
the descendants,tt1033575,movie,2011,115,"Comedy,Drama",7.3,259459.0
spiral,tt10342730,movie,2021,93,"Horror,Mystery,Thriller",5.2,76683.0
iron sky,tt1034314,movie,2012,93,"Action,Adventure,Comedy",5.9,98716.0
the eagle,tt1034389,movie,2011,114,"Action,Adventure,Drama",6.2,77337.0
suspiria,tt1034415,movie,2018,152,"Drama,Fantasy,Horror",6.7,104598.0
gunjan saxena the kargil girl,tt10350626,movie,2020,112,"Action,Biography,Drama",5.6,36241.0
laxmii,tt10350922,movie,2020,141,"Action,Comedy,Horror",2.6,59748.0
after we collided,tt10362466,movie,2020,105,"Drama,Romance",5.1,43968.0
infinity pool,tt10365998,movie,2023,117,"Crime,Horror,Mystery",6.0,73202.0
john wick chapter 4,tt10366206,movie,2023,169,"Action,Crime,Thriller",7.6,408028.0
coda,tt10366460,movie,2021,111,"Comedy,Drama,Music",8.0,205758.0
the worst person in the world,tt10370710,movie,2021,128,"Comedy,Drama,Romance",7.7,125345.0
the book of eli,tt1037705,movie,2010,118,"Action,Adventure,Drama",6.8,360060.0
legion,tt1038686,movie,2010,100,"Action,Fantasy,Horror",5.3,119458.0
the bounty hunter,tt1038919,movie,2010,110,"Action,Comedy,Romance",5.6,140074.0
jayeshbhai jordaar,tt10393870,movie,2022,121,"Comedy,Drama",6.0,44440.0
terrifier 2,tt10403420,movie,2022,138,Horror,6.0,81610.0
miracle in cell no 7,tt10431500,movie,2019,132,Drama,8.2,62175.0
the legend of hercules,tt1043726,movie,2014,99,"Action,Adventure,Fantasy",4.3,57643.0
outside the wire,tt10451914,movie,2021,114,"Action,Adventure,Fantasy",5.4,48446.0
silver linings playbook,tt1045658,movie,2012,122,"Comedy,Drama,Romance",7.7,771770.0
ma raineys black bottom,tt10514222,movie,2020,94,"Drama,Music",6.9,77278.0
goosebumps,tt1051904,movie,2015,103,"Adventure,Comedy,Family",6.3,102051.0
the invisible man,tt1051906,movie,2020,124,"Drama,Horror,Mystery",7.1,282499.0
the forgotten battle,tt10521092,movie,2020,124,"Action,Adventure,War",7.1,41133.0
the call,tt10530176,movie,2020,112,"Crime,Horror,Mystery",7.1,52484.0
repo men,tt1053424,movie,2010,111,"Action,Sci-Fi,Thriller",6.3,113987.0
the big year,tt1053810,movie,2011,100,Comedy,6.2,50719.0
the midnight sky,tt10539608,movie,2020,118,"Adventure,Drama,Sci-Fi",5.7,94236.0
the hunger games the ballad of songbirds snakes,tt10545296,movie,2023,157,"Action,Adventure,Drama",6.6,180656.0
life as we know it,tt1055292,movie,2010,114,"Comedy,Drama,Romance",6.5,144524.0
dara of jasenovac,tt10554232,movie,2020,130,"Drama,War",8.0,82327.0
master,tt10579952,movie,2021,179,"Action,Crime,Drama",7.4,90613.0
one night in miami,tt10612922,movie,2020,114,Drama,7.1,35825.0
mank,tt10618286,movie,2020,131,"Biography,Drama",6.8,103987.0
alive,tt10620868,movie,2020,98,"Action,Drama,Horror",6.3,54492.0
minari,tt10633456,movie,2020,115,Drama,7.4,124630.0
talk to me,tt10638522,movie,2022,95,"Horror,Thriller",7.1,212304.0
babylon,tt10640346,movie,2022,189,"Comedy,Drama",7.1,204992.0
thor love and thunder,tt10648342,movie,2022,118,"Action,Adventure,Comedy",6.1,457318.0
boyhood,tt1065073,movie,2014,165,Drama,7.9,381103.0
it ends with us,tt10655524,movie,2024,130,"Drama,Romance",6.3,99372.0
halloween kills,tt10665338,movie,2021,105,"Action,Drama,Horror",5.5,107822.0
halloween ends,tt10665342,movie,2022,111,"Horror,Mystery,Romance",5.0,82397.0
water for elephants,tt1067583,movie,2011,120,"Drama,Romance",6.9,123838.0
to all the boys always and forever,tt10676012,movie,2021,116,"Comedy,Drama,Romance",6.3,39187.0
the marvels,tt10676048,movie,2023,105,"Action,Adventure,Sci-Fi",5.5,162434.0
monte carlo,tt1067774,movie,2011,109,"Adventure,Comedy,Family",5.8,52162.0
