norm_title,critics_consensus,tomatometer_rating
spellbound,"A suspenseful, gripping documentary that features an engaging cross section of American children.",97.0
molière,"Moliere is a sophisticated, witty biopic of the great satirist.",69.0
home on the range,"Though Home on the Range is likeable and may keep young children diverted, it's one of Disney's more middling titles, with garish visuals and a dull plot.",53.0
ash is purest white,"Ash Is Purest White finds writer-director Zhangke Jia revisiting familiar themes while continuing to observe modern Chinese society with an urgent, empathetic eye.",99.0
gran torino,"Though a minor entry in Eastwood's body of work, Gran Torino is nevertheless a humorous, touching, and intriguing old-school parable.",81.0
dog soldiers,"Frightening, funny, and packed with action, Dog Soldiers is well worth checking out for genre fans -- and marks writer-director Neil Marshall as a talent to keep an eye on.",79.0
cosmopolis,"Though some may find it cold and didactic, Cosmopolis benefits from David Cronenberg's precise direction, resulting in a psychologically complex adaptation of Don DeLillo's novel.",65.0
immortality,"Stylish, but emotionally uninvolving.",47.0
small soldiers,"Small Soldiers has plenty of visual razzle-dazzle, but the rote story proves disappointingly deficient in director Joe Dante's trademark anarchic spirit.",48.0
requiem for a dream,"Though the movie may be too intense for some to stomach, the wonderful performances and the bleak imagery are hard to forget.",79.0
2 days in paris,"Delpy proves not only to be an adept actress, but makes her mark as a writer and director in this thought-provoking comedy that breaks the romantic comedy mold.",87.0
defendor,"Defendor's reach occasionally exceeds its grasp, but this unique take on the superhero genre is held together by Woody Harrelson's solid performance.",74.0
into the storm,"Clumsily scripted and populated with forgettable characters, Into the Storm has little to offer beyond its admittedly thrilling special effects.",21.0
evita,"Evita sometimes strains to convince on a narrative level, but the soundtrack helps this fact-based musical achieve a measure of the epic grandeur to which it aspires.",63.0
the happy prince,"A passion project for writer, director, and star Rupert Everett, The Happy Prince pays effective tribute to Oscar Wilde with a poignant look at his tragic final days.",72.0
jackass presents bad grandpa,"Never quite as funny as it wants to be, Jackass Presents: Bad Grandpa still offers viewers the timeless pleasures of seeing an old man get his privates stuck in a vending machine.",61.0
24 hour party people,"The colorful, chaotic 24 Hour Party People nimbly captures the spirit of the Manchester music scene.",86.0
the omen,"The Omen eschews an excess of gore in favor of ramping up the suspense -- and creates an enduring, dread-soaked horror classic along the way.",86.0
the robber,The Robber draws on real-life events for a complex character-driven drama that draws viewers in even as it avoids hitting traditional thriller beats.,79.0
you should have left,"You Should Have Left hints at a genuinely creepy experience, but never quite manages to distill its intriguing ingredients into a consistently satisfying whole.",40.0
sleeping with the enemy,"A game Julia Roberts gives it her all, but Sleeping with the Enemy is one stalker thriller that's unlikely to inspire many obsessions of its own.",20.0
army of darkness,"Army of Darkness is a madcap adventure worth taking thanks to Bruce Campbell's hammy charm and Sam Raimi's acrobatic direction, although an intentional lack of shocks make this a discordant capper to the Evil Dead franchise.",73.0
gloria bell,"Free of visual or narrative embellishments, Gloria Bell rests almost completely on Julianne Moore's performance in the title role -- and she's gloriously up to the task.",91.0
return to never land,"With its forgettable songs and lackluster story, this new Pan will surely entertain kids, but will feel more like a retread to adults.",45.0
alice in wonderland,Tim Burton's Alice sacrifices the book's minimal narrative coherence -- and much of its heart -- but it's an undeniable visual treat.,51.0
closer,Closer's talented cast and Mike Nichols' typically assured direction help smooth a bumpy journey from stage to screen.,68.0
dont look now,Don't Look Now patiently builds suspense with haunting imagery and a chilling score -- causing viewers to feel Donald Sutherland and Julie Christie's grief deep within.,95.0
iron man 2,"It isn't quite the breath of fresh air that Iron Man was, but this sequel comes close with solid performances and an action-packed plot.",72.0
hell baby,"Though its brand of immature comedy may appeal to some, Hell Baby misses the mark with much of its humor, rendering it a largely ineffective -- and often crass -- genre sendup.",31.0
stephen kings cats eye,An effective if knowingly silly Stephen King anthology that combines comedy and terror.,67.0
why dont you play in hell,"Deliriously manic and gleefully tasteless, Why Don't You Play in Hell? delivers infectious genre fun.",80.0
flyboys,A poorly scripted history-rewriting exercise with mediocre acting and unconvincing CGI battle scenes.,33.0
beanpole dylda,"Filmed with impressive skill and brought to life by unforgettable performances, Beanpole takes a heartbreakingly empathetic look at lives shattered by war.",91.0
the hammer,The Hammer perseveres as both an above-average sports comedy and a perfect starring vehicle for Carolla.,80.0
serenity,Snappy dialogue and goofy characters make this Wild Wild West soap opera in space fun and adventurous.,82.0
before midnight,"Building on the first two installments in Richard Linklater's well-crafted Before trilogy, Before Midnight offers intelligent, powerfully acted perspectives on love, marriage, and long-term commitment.",98.0
deck the halls,"Relying on flat humor and a preposterous plot, Deck the Halls is an unnecessarily mean-spirited holiday movie that does little to put viewers in a holiday mood.",6.0
sextuplets,"Lazy, messy, and deeply unfunny, Sextuplets is the latest misfire from the collaborative duo of Marlon Wayans and Michael Tiddes.",14.0
dont stop believin everymans journey,"An energetic but thin portrait of the venerable rock band Journey, Don't Stop Believin' gets a boost from new singer Arnel Pineda's charming personality.",64.0
the man who shot liberty valance,"Featuring a trio of classic leading men and a rich story captured by a director at the peak of his craft, The Man Who Shot Liberty Valance is one of the finest Westerns ever filmed.",94.0
hulk,"While Ang Lee's ambitious film earns marks for style and an attempt at dramatic depth, there's ultimately too much talking and not enough smashing.",62.0
guns akimbo,"Frenetic to a fault, Guns Akimbo may leave some viewers reaching for the killswitch -- but for others, its videogame-style violence will have plenty of replay value.",52.0
youre not you,"Despite the best efforts of its two talented female leads, You're Not You is not a consistently satisfying adaptation of its source material.",48.0
tolkien,"Tolkien has the period trappings and strong performances of a worthy biopic, but lacks the imagination required to truly do its subject justice.",51.0
abraham lincoln vampire hunter,"Abraham Lincoln: Vampire Hunter has visual style to spare, but its overly serious tone doesn't jibe with its decidedly silly central premise, leaving filmgoers with an unfulfilling blend of clashing ingredients.",34.0
white squall,"Though it gets occasionally bogged down by touchy-feely sentiment, White Squall benefits greatly from Jeff Bridges' assured lead performance and Ridley Scott's visceral, exciting direction.",58.0
about elly,"About Elly offers viewers performances as powerful as its thought-provoking ideas, and adds another strong entry to Asghar Farhadi's impressive filmography.",99.0
the brothers,"Often seen as a Waiting to Exhale with men, The Brothers is amiable. However, it feels superficial and somewhat of a retread.",63.0
sabotage,"Sabotage boasts one of Arnold Schwarzenegger's finer post-political performances, but it's wasted in a movie driven by grueling violence that punishes seemingly without purpose.",22.0
come as you are,"Come As You Are approaches sensitive subjects with heart and humor, taking audiences on a thoroughly entertaining road trip to a crowd-pleasing destination.",94.0
my blind brother,My Blind Brother takes a refreshingly character-driven approach to its familiar sibling rivalry while adding a somewhat unexpected twist.,81.0
flow for love of water,"Flow is an informative, disturbing and enthralling film that highlights a criminally underreported problem.",81.0
the perfect score,"Neither funny nor suspenseful, this heist / teen flick also fails to explore its potentially socially relevant premise.",16.0
soul plane,A raunchy sendup of Airplane! that never really takes off.,18.0
toni erdmann,"Toni Erdmann pairs carefully constructed, three-dimensional characters in a tenderly funny character study that's both genuinely moving and impressively ambitious.",93.0
you were never really here,"Bracingly elevated by a typically committed lead performance from Joaquin Phoenix, You Were Never Really Here confirms writer-director Lynne Ramsay as one of modern cinema's most unique -- and uncompromising -- voices.",89.0
the last thing he wanted,"It'll be the last thing most viewers want, too.",5.0
nothing like the holidays,"The performances are the strength of Nothing Like the Holidays, a rather ordinary holiday comedy with a latin twist.",54.0
the new romantic,"The New Romantic doesn't quite achieve the level of storytelling sophistication it aspires to, but Jessica Barden's performance elevates this enjoyable rom-com with a twist.",62.0
snow white and the seven dwarfs,"With its involving story and characters, vibrant art, and memorable songs, Snow White and the Seven Dwarfs set the animation standard for decades to come.",98.0
disobedience,"Disobedience explores a variety of thought-provoking themes, bolstered by gripping work from leads Rachel Weisz, Rachel McAdams, and Alessandro Nivola.",84.0
the fifth estate,"Heavy on detail and melodrama but missing the spark from its remarkable real-life inspiration, The Fifth Estate mostly serves as a middling showcase for Benedict Cumberbatch's remarkable talent.",36.0
miss potter,A charming biopic that maintains its sweetness even in sadder moments.,67.0
the green inferno,"The Green Inferno may not win writer-director Eli Roth many new converts, but fans of his flair for gory spectacle should find it a suitably gruesome diversion.",38.0
the mist,Frank Darabont's impressive camerawork and politically incisive script make The Mist a truly frightening experience.,72.0
into the forest,"Into the Forest grounds its familiar apocalyptic framework with a relatable look at the bond between two sisters, compellingly brought to life by Ellen Page and Evan Rachel Wood.",76.0
pay it forward,"Pay It Forward has strong performances from Spacey, Hunt, and Osment, but the movie itself is too emotionally manipulative and the ending is bad.",39.0
running free,"The narration in Running Free detracts from its beauty, and pushes the film to the point of absurdity.",27.0
gloria,"A comparatively commercial entry from director John Cassavetes, Gloria's pulpy pleasures are elevated by his observant touch and Gena Rowlands' galvanizing star performance.",93.0
arsenal,"Aside from an opportunity to watch a mustachioed Nicolas Cage acting from under a wig and behind a prosthetic nose, Arsenal has depressingly little to offer.",3.0
friday,"What Friday might lack in taut construction or directorial flair, it more than makes up with its vibrant (albeit consistently crass) humor and the charming, energetic performances of its leads.",78.0
the romantics,"The Romantics is visually accomplished, but director Galt Niederhoffer's adaptation of her own novel never finds the passion on the page or offers audiences a reason to invest in these limp love affairs.",14.0
journey to the center of the earth,"A silly but fun movie with everything you'd want from a sci-fi blockbuster -- heroic characters, menacing villains, monsters, big sets and special effects.",83.0
citizen jane battle for the city,Citizen Jane: Battle for the City offers a compelling overview of an influential activist's importance -- and underscores why the spirit of her work remains crucial today.,95.0
guest of honour,"David Thewlis' performance aside, Guest of Honour serves as a frustratingly limited return to form for writer-director Atom Egoyan.",41.0
the odd life of timothy green,"It means well, but The Odd Life of Timothy Green is ultimately too cloyingly sentimental -- and thinly scripted -- to satisfy all but the least demanding viewers.",36.0
the first purge,"The First Purge should satisfy fans of the franchise and filmgoers in the mood for violent vicarious thrills, even if its subtextual reach exceeds its grasp.",56.0
the sweet hereafter,Director Atom Egoyan examines tragedy and its aftermath with intelligence and empathy.,98.0
ichi the killer koroshiya 1,Ichi The Killer is a thoroughly shocking gorefest that will surely entertain those with strong stomachs and a penchant for brutal violence.,65.0
die hard with a vengeance,"Die Hard with a Vengeance benefits from Bruce Willis and Samuel L. Jackson's barbed interplay, but clatters to a bombastic finish in a vain effort to cover for an overall lack of fresh ideas.",59.0
a very british gangster,"With a fascinating character as its subject, A Very British Gangster makes for entertaining, frightening, and informative viewing.",71.0
the pursuit of happyness,Will Smith's heartfelt performance elevates The Pursuit of Happyness above mere melodrama.,67.0
unbreakable,"With a weaker ending, Unbreakable is not as a good as The Sixth Sense. However, it is a quietly suspenseful film that intrigues and engages, taking the audience through unpredictable twists and turns along the way.",70.0
gett the trial of viviane amsalem,"On paper, GETT: The Trial of Viviane Amsalem might seem less than thrilling, but on the screen, it delivers two hours of nonstop, tightly wound, brilliantly acted drama.",100.0
the life of emile zola,"Well-written, well-meaning and solidly acted, The Life of Emile Zola film may ultimately be more earnest than dramatically engaging.",82.0
léon the professional,Pivoting on the unusual relationship between seasoned hitman and his 12-year-old apprentice -- a breakout turn by young Natalie Portman -- Luc Besson's Léon is a stylish and oddly affecting thriller.,74.0
un amour de jeunesse goodbye first love,"Goodbye First Love captures teen ardor with a patiently naturalistic approach, further proving writer-director Mia Hansen-Løve is a major talent to watch.",83.0
the ring,"With little gore and a lot of creepy visuals, The Ring gets under your skin, thanks to director Gore Verbinski's haunting sense of atmosphere and an impassioned performance from Naomi Watts.",71.0
manakamana,"Its tranquil pace will prove jarring for the blockbuster-inclined, but Manakamana rewards patient viewers with a singularly haunting experience.",96.0
the remains of the day,"Smart, elegant, and blessed with impeccable performances from Anthony Hopkins and Emma Thompson, The Remains of the Day is a Merchant-Ivory classic.",95.0
the treasure of the sierra madre,"Remade but never duplicated, this darkly humorous morality tale represents John Huston at his finest.",100.0
killing me softly,"Respected director Chen Kaige's first English-language film is a spectacularly misguided erotic thriller, with ludicrous plot twists and cringe-worthy dialogue.",0.0
i can only imagine,"I Can Only Imagine's message will have the most impact among Christian audiences, but overall, its performances and storytelling represent a notable evolution in faith-based cinema.",63.0
universal soldier the return,"Universal Soldier - The Return fails on almost every level, from its generic story to its second rate action and subpar performances.",5.0
capricorn one,"A string of questionable plot contrivances threaten to bury its story, but Capricorn One manages to unfurl an amusing, sharply cynical conspiracy yarn.",62.0
phantom of the opera,"Decades later, it still retains its ability to scare -- and Lon Chaney's performance remains one of the benchmarks of the horror genre.",90.0
ironweed,"Jack Nicholson and Meryl Streep play masterfully off each, but Ironweed's unrelenting bleakness proves to be more monotonous than compelling.",58.0
mystery science theater 3000 the movie,"Mystery Science Theater 3000: The Movie may be thin and uneven, but it's hilarious in enough of the right spots to do the show's big-screen transition justice.",80.0
lake placid,"Betty White's delightful supporting turn may be worth the price of admission alone, but Lake Placid is swamped by a smarmy script and inability to deliver on the creature feature mayhem.",47.0
harriet the spy,Harriet the Spy is a rapid-fire mystery movie that doesn't have much to offer beyond the two decent lead performances.,48.0
just cause,"Just Cause you round up a phenomenal cast, that doesn't mean you have everything you need for a solid legal thriller -- and this film is forgettable proof.",26.0
the identical,"With nearly every element ringing as hollow as the ersatz Elvis at the story's core, The Identical looks destined for a bright future on the ironic viewing circuit.",6.0
red dawn,"The rebooted Red Dawn lacks the original's topicality, but at least pays tribute in delivering the same short shrift to character development and general logic.",15.0
la mujer de mi hermano,"No better than an R-rated ""telenovela,"" with the requisite love triangle involving uncommonly attractive players and banal plotlines.",20.0
tucker and dale vs evil,"Like the best horror/comedies, Tucker & Dale vs. Evil mines its central crazy joke for some incredible scares, laughs, and -- believe it or not -- heart.",85.0
please stand by,"Please Stand By hits a number of familiar coming-of-age beats, but adds just enough of a Trek-fueled twist to keep things interesting.",58.0
dear white people,"Dear White People adds a welcome new voice to cinema's oft-neglected discussion of race, tackling its timely themes with intelligence, honesty, and gratifyingly sharp wit.",91.0
the death and life of marsha p johnson,The Death and Life of Marsha P. Johnson uses its belated investigation into an activist's murder as the framework for a sobering look at the ongoing battle for equal rights.,96.0
the hate u give,"Led by a breakout turn from Amandla Stenberg, the hard-hitting The Hate U Give emphatically proves the YA genre has room for much more than magic and romance.",97.0
the aristocrats,"Can a joke stand up to repeated tellings? Hilarious and revealing of the way comedy works, The Aristocrats demonstrates that it's possible.",79.0
teachers pet,"Despite its short running time, Teacher's Pet is a witty and irreverent family film.",76.0
get a job,"Inauthentic and unfunny, Get a Job is paltry to the point that its long-delayed release feels purely the result of its wasted cast having been promoted to greater fame all these years later.",5.0
max,"Well-acted in the execution of its provocative ""what-if?"" premise.",69.0
network,"Driven by populist fury and elevated by strong direction, powerful acting, and an intelligent script, Network's searing satire of ratings-driven news remains sadly relevant more than four decades later.",91.0
something in the air,"Insightful, solidly acted, and smartly filmed, Something in the Air skillfully captures the idealism of youth without falling back on cheap nostalgia.",81.0
