movie_title,norm_title,year,critics_consensus,review_date,tomatometer_rating
Percy Jackson & the Olympians: The Lightning Thief,percy jackson the olympians the lightning thief,2010,"Though it may seem like just another Harry Potter knockoff, Percy Jackson benefits from a strong supporting cast, a speedy plot, and plenty of fun with Greek mythology.",2010-02-06,49.0
Please Give,please give,2010,"Nicole Holofcener's newest might seem slight in places, but its rendering of complex characters in a conflicted economic landscape is varied, natural, and touching all the same.",2010-01-25,87.0
10,10,2000,"Blake Edwards' bawdy comedy may not score a perfect 10, but Dudley Moore's self-deprecating performance makes this midlife crisis persistently funny.",2000-01-01,67.0
12 Angry Men (Twelve Angry Men),12 angry men twelve angry men,2000,"Sidney Lumet's feature debut is a superbly written, dramatically effective courtroom thriller that rightfully stands as a modern classic.",2000-01-01,100.0
"20,000 Leagues Under The Sea",20000 leagues under the sea,2000,"One of Disney's finest live-action adventures, 20,000 Leagues Under the Sea brings Jules Verne's classic sci-fi tale to vivid life, and features an awesome giant squid.",2000-01-01,89.0
"10,000 B.C.",10000 bc,2008,"With attention strictly paid to style instead of substance, or historical accuracy, 10,000 B.C. is a visually impressive but narratively flimsy epic.",2008-03-01,8.0
The 39 Steps,the 39 steps,1935,"Packed with twists and turns, this essential early Alfred Hitchcock feature hints at the dazzling heights he'd reach later in his career.",1935-08-01,96.0
The Lost City,the lost city,2005,"Its heart is in the right place, but what starts as a promising exercise devolves into an overlong, unevenly directed disappointment.",2005-09-03,25.0
Adam's Rib,adams rib,2000,"Matched by Garson Kanin's witty, sophisticated screenplay, George Cukor, Spencer Tracy, and Katherine Hepburn are all in top form in the classic comedy Adam's Rib.",2000-01-01,96.0
The Bridge of San Luis Rey,the bridge of san luis rey,2005,"Despite an all-star cast and some impressive visuals, The Bridge of San Luis Rey is a lifeless, slow-going adaptation of Thornton Wilder's classic novel.",2005-06-08,4.0
Criminal,criminal,2004,"If you saw Nine Queens, it may feel redundant, but the snappy performances make it fun to watch.",2004-08-22,69.0
Deep Blue,deep blue,2003,"Full of visually striking footage, Deep Blue may be too intense for younger viewers, but fans of nature documentaries will find much to enjoy.",2003-11-04,67.0
